Quantity Kind,QName,Dimension Symbol,Unit,QName,Unit Symbol,Same dimension symbol
Plane Angle,quantity:PlaneAngle,U1,Radian,unit:Radian,rad,9X
Power,quantity:Power,L2M1T-3,Watt,unit:Watt,W,XXX
Power per Angle,quantity:PowerPerAngle,U-2L2M1T-3,Watt per steradian,unit:WattPerSteradian,W/sr,
Power per Area Angle,quantity:PowerPerAreaAngle,U-2M1T-3,Watt per square meter steradian,unit:WattPerSquareMeterSteradian,W/(m^2-sr),
Power per Unit Area,quantity:PowerPerUnitArea,M1T-3,Watt per square meter,unit:WattPerSquareMeter,W/m^2,7X
Pressure or Stress,quantity:PressureOrStress,L-1M1T-2,Pascal,unit:Pascal,Pa,
Resistance,quantity:Resistance,L2M1T-3I-2,Ohm,unit:Ohm,Ohm,
Solid Angle,quantity:SolidAngle,U2,Steradian,unit:Steradian,sr,
Specific Energy,quantity:SpecificEnergy,L2T-2,Joule per kilogram,unit:JoulePerKilogram,J/kg,5X
Specific Heat Capacity,quantity:SpecificHeatCapacity,L2T-2O-1,Joule per kilogram kelvin,unit:JoulePerKilogramKelvin,J/(kg-K),
Specific Heat Pressure,quantity:SpecificHeatPressure,L3M-1O-1,Joule per kilogram kelvin per pascal,unit:JoulePerKilogramKelvinPerPascal,J/(km-K-Pa),
Specific Heat Volume,quantity:SpecificHeatVolume,L-1T-2O-1,Joule per kilogram kelvin per cubic meter,unit:JoulePerKilogramKelvinPerCubicMeter,J/(kg-K-m^3),
Temperature Amount of Substance,quantity:TemperatureAmountOfSubstance,O1N1,Mole kelvin,unit:MoleKelvin,mol-K,
Thermal Conductivity,quantity:ThermalConductivity,L1M1T-3O-1,Watt per meter kelvin,unit:WattPerMeterKelvin,W/(m*K),
Thermal Diffusivity,quantity:ThermalDiffusivity,L2T-1,Square meter per second,unit:SquareMeterPerSecond,m^2/sec,XXXX
